CHILDID,X1RSCALK5,X2RSCALK5,X1MSCALK5,X2MSCALK5,X1PRNAPP,X2PRNAPP,X1PRNSOC,X2PRNSOC,X1PRNSAD,X2PRNSAD,X1PRNIMP,X2PRNIMP,X1TCHAPP,X2TCHAPP,X1TCHCON,X2TCHCON,X1TCHPER,X2TCHPER,X1TCHEXT,X2TCHEXT,X1TCHINT,X2TCHINT,X1ATTNFS,X2ATTNFS,X1INBCNT,X2INBCNT,X4KINBCNT,X1BMI,X2BMI,X1HEIGHT,X2HEIGHT,X1WEIGHT,X2WEIGHT,X_HISP_R,X_WHITE_R,X_BLACK_R,X_ASIAN_R,X_AMINAN_R,X_HAWPI_R,X_MULTR_R,X_RACETH_R,X_RACETHP_R,X12LANGST,X1FIRKDG,X1LOCALE,X2LOCALE,X12TWIN,X1HPARNT,X2HPARNT,X1PAR1RAC,X2PAR1RAC,X12PAR1ED_I,X1PAR2RAC,X2PAR2RAC,X12PAR2ED_I,X1HTOTAL,X2HTOTAL,X1LESS18,X2LESS18,X1OVER18,X2OVER18,X1NUMSIB,X2NUMSIB,X1AGEENT,X2POVTY,X12SESL,X1PUBPRI,X2PUBPRI
10000005,57.6624,70.8145,33.2956,51.6183,3.5,3.1667,3.6667,3.6667,2,1.75,1.5,1.5,3.6667,3.5714,3.75,3.5,3.8,4,2.2,1.2,1.25,1.75,7,6,7,5.5, ,15.2048,15.5441,40.8,42,36,39,1,1,2,2,2,2,2,3,3,2,1,2,2,0,1,1,1,1,4,4,4,3,5,7,3,3,2,4,2,2,57.83,2,.2832,2,2
10000023,71.3722,93.0229,64.7133,84.1224,3,3,3.6667,3.6667,1.5,1.75,2,2,3,3.5714,3,3.75,2.8,4,1.8,1,1.25,1.25,5.1667,6,4.5,5, ,14.3421,15.082,48,48.375,47,50.2,2,1,2,2,2,2,2,1,1,2,1,2,2,0,1,1,1,1,8,1,1,8,5,5,3,3,2,2,2,2,75.43,3,1.21,2,2
10000025, ,51.6164, ,55.1343, ,4, ,4, ,1.75, ,1.5, ,3, ,3.5, ,3, ,1.4, ,1.25, ,4.8333, ,5.5, , ,22.3812, ,49.5, ,78,1,1,2,2,2,2,2,3,3,1,-9, ,1,0, ,1, ,3,5, ,3,5, ,4, ,2, ,2, ,1,-9,1,-.155, ,1
10000071,46.7467,62.9697,28.7306,55.206, ,3.3333, ,4, ,1.25, ,2,3.5714,3.8571,-9,-9,-9,4,1,1.4,1,1,6.1667,6.1667,6.5,6, ,22.4819,23.3296,45.5,47,66.2,73.3,2,1,2,2,2,2,2,1,1,2,1,4,4,0, ,2, ,2,5, ,1,3, ,5, ,3, ,2, ,2,62.73,2,-.236,1,1
10000091,38.5337,49.4189,-9,41.9439, , , , , , , , , ,3.5714, ,2.3333, ,2.8, ,1.8, ,1.6667, ,6.3333, ,3.8, ,14.6957,15.2071,42.75,45,38.2,43.8,-9,-9,-9,-9,-9,-9,-9,5,-9, ,-9,1,1,0, , , , , , , , , , , , , , , , ,-9, , ,1,1
10000096, , , , ,2.6667,2.5,2.3333,4,1,1.25,2,1, , , , , , , , , , , , , , , , , , , , , ,2,2,2,1,2,2,2,5,5,1,1,1,1,0,1,1,5,5,8,5,5,8,4,4,2,2,2,2,1,1,66.3,3,1.376,1,1
10000126,57.4579,83.5636,41.7493,59.5254,3.6667,3.6667,4,4,1.5,1.5,2,2,3.7143,4,3.25,4,3.2,4,1,1,1.25,1.25,6.1667,7,5.3333,6.5, ,14.2676,15.308,43.5,43.5,38.4,41.2,2,1,2,2,2,2,2,1,1,2,1,4,4,0,3,3,1,1,4,-1,-1,-1,3,3,2,2,1,1,1,1,68.8,2,-.476,1,1
10000128,68.6295,87.4964,43.5792,77.5806,3.5,3.5,3.6667,4,1.5,1.25,1,1.5,2.4286, ,3, ,3, ,1.5, ,1, ,5.8333, ,5.6667, , ,15.4939,15.8418,47.25,49,49.2,54.1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,6,1,1,8,6,6,4,4,2,2,3,3,68.37,3,1.297,2,1
10000132,67.0375,81.3909,58.6227,66.7349,3.6667,3.3333,4,3.6667,1.5,1.5,2,2,3.5714,4,3.5,3.6667,3.2,3.6,1,1,1.25,1,5,6.6667,5.6667,6, ,14.7337,14.7329,43.25,44.125,39.2,40.8,2,1,2,2,2,2,2,1,1,2,1,2,2,0,1,1,1,1,8,1,1,8,5,5,3,3,2,2,2,2,67.57,3,1.298,2,2
10000138,49.0101,65.7645,27.8235,43.1514,3,3,3.6667,3.3333,1.25,1.25,1.5,1,2.5714,3.8571,3,3.5,2.6,3.8,1,1.2,1,1,5.6667,6.6667,5.5,6, ,15.1452,15.5139,41.5,43,37.1,40.8,1,2,2,2,2,1,2,3,3,2,1,2,2,0,3,3,3,3,3,-1,-1,-1,3,3,2,2,1,1,1,1,72.33,2,-.184,1,1
