id,deathpen,rdefend,rvictim
1,No,White,White
2,No,White,Black
3,Yes,White,White
4,No,White,White
5,No,Black,Black
6,No,White,Black
7,No,Black,Black
8,No,White,White
9,No,White,White
10,No,White,Black
11,No,Black,Black
12,No,Black,Black
13,No,White,White
14,No,Black,Black
15,No,White,White
16,No,White,White
17,No,Black,Black
18,No,Black,White
19,No,Black,Black
20,No,White,White
21,No,Black,Black
22,Yes,White,Black
23,No,White,White
24,Yes,Black,White
25,No,Black,Black
26,No,White,White
27,No,Black,Black
28,No,White,White
29,No,White,White
30,No,Black,Black
31,No,Black,Black
32,No,Black,White
33,Yes,White,Black
34,Yes,Black,Black
35,No,Black,Black
36,No,Black,Black
37,No,Black,Black
38,No,White,White
39,No,Black,Black
40,No,White,White
41,No,Black,Black
42,No,White,White
43,No,White,White
44,No,White,White
45,No,White,White
46,No,Black,Black
47,No,Black,Black
48,No,Black,Black
49,No,White,White
50,No,White,White
51,No,White,White
52,No,Black,Black
53,No,White,White
54,No,Black,Black
55,No,Black,White
56,No,Black,Black
57,No,White,White
58,No,Black,Black
59,No,Black,Black
60,No,White,White
61,No,Black,Black
62,Yes,Black,White
63,No,White,White
64,No,Black,Black
65,No,Black,Black
66,No,White,White
67,No,White,White
68,No,Black,Black
69,No,Black,Black
70,No,Black,Black
71,No,White,White
72,No,Black,Black
73,No,Black,Black
74,No,White,Black
75,No,Black,Black
76,No,Black,Black
77,No,Black,Black
78,No,Black,Black
79,Yes,White,Black
80,No,Black,Black
81,No,Black,Black
82,No,White,White
83,No,White,Black
84,No,Black,Black
85,No,Black,Black
86,No,Black,Black
87,No,Black,Black
88,No,Black,Black
89,No,White,White
90,No,Black,Black
91,No,Black,Black
92,No,Black,Black
93,No,Black,Black
94,No,White,White
95,No,Black,Black
96,No,Black,Black
97,Yes,White,White
98,No,Black,Black
99,No,Black,Black
100,No,Black,Black
101,Yes,Black,Black
102,No,Black,Black
103,No,White,White
104,No,Black,White
105,No,White,White
106,No,Black,Black
107,No,White,Black
108,No,White,White
109,No,Black,Black
110,No,White,White
111,No,Black,Black
112,No,Black,Black
113,No,White,White
114,No,Black,Black
115,No,Black,Black
116,No,Black,Black
117,No,White,White
118,No,White,White
119,No,Black,Black
120,No,Black,Black
121,No,White,Black
122,No,White,White
123,No,White,White
124,No,White,Black
125,No,Black,Black
126,No,Black,White
127,No,Black,Black
128,No,Black,Black
129,No,White,White
130,No,Black,Black
131,No,White,White
132,No,Black,Black
133,No,White,White
134,No,Black,Black
135,Yes,Black,White
136,No,White,White
137,Yes,Black,White
138,No,White,White
139,No,Black,Black
140,No,White,White
141,No,Black,Black
142,No,White,White
143,No,White,White
144,No,White,Black
145,No,Black,Black
146,No,White,White
147,No,Black,Black
148,No,White,White
149,No,White,White
150,No,Black,Black
151,No,Black,Black
152,No,Black,Black
153,No,White,White
154,No,White,White
155,No,Black,Black
156,No,White,Black
157,No,White,White
158,No,Black,Black
159,No,Black,Black
160,No,White,Black
161,No,White,White
162,No,White,White
163,No,Black,Black
164,No,Black,Black
165,No,Black,Black
166,No,Black,Black
167,No,Black,Black
168,No,White,White
169,No,White,White
170,No,Black,Black
171,No,Black,Black
172,No,White,White
173,No,Black,White
174,No,Black,Black
175,No,Black,Black
176,No,Black,Black
177,No,White,White
178,No,White,White
179,No,White,White
180,No,White,Black
181,No,Black,Black
182,No,White,White
183,No,Black,White
184,No,Black,Black
