student_id,ysr
1,62.4
2,64.4
3,61.4
4,58.3
5,36.7
6,67
7,70.5
8,57.9
9,53.3
10,57.2
11,32.3
12,48.1
13,57.9
14,57.6
15,52.2
16,82.1
17,56.3
18,42.3
19,48.9
20,66.9
21,60.5
22,62.8
23,65.4
24,52.5
25,53.8
26,55.6
27,61.3
28,52
29,51
30,61.7
31,70.8
32,58.9
33,52.3
34,71
35,50.4
36,40.4
37,61.8
38,59.5
39,20
40,73.4
41,55.4
42,77
43,51.8
44,55
45,49.5
46,53.9
47,61
48,79.9
49,52.2
50,50.9
51,65.8
52,59.6
53,63.3
54,59.6
55,49.1
56,37.3
57,55.7
58,57.2
59,47.2
60,56.1
61,63.2
62,51.2
63,61.2
64,32.7
65,60.2
66,69.2
67,54.3
68,59.7
69,38.3
70,53.8
71,50.3
72,46.7
73,45
74,60.9
75,65.7
76,58.8
77,61.5
78,50
79,55.6
80,45.1
81,67.5
82,56.6
83,51.4
84,62.6
85,55.9
86,65.7
87,67.9
88,51.1
89,72
90,44.5
91,42.8
92,61.2
93,66.3
94,55.3
95,56
96,40.4
97,60.2
98,57.1
99,44.4
100,49.3
101,45.7
102,55.8
103,43.5
104,71.4
105,69.9
106,56.5
107,52.1
108,50.1
109,49.3
110,59.4
111,47.4
112,53
113,50.9
114,47.2
115,54.5
116,49.5
117,71.8
118,63.5
119,74.2
120,31.2
121,52.5
122,48.7
123,54.2
124,59.3
125,49.9
126,49.2
127,77.7
128,57.7
129,65.7
130,54.3
131,42.6
132,38.2
133,60
134,61.1
135,72.5
136,31.8
137,51.8
138,40.4
139,62.4
140,44.1
141,53.3
142,55.6
143,45.8
144,66.8
145,60.7
146,61.7
147,58.7
148,50.7
149,28.5
150,53
151,56.8
152,63.1
153,48.1
154,66.8
155,62.5
156,64.7
157,61.2
158,62.1
159,60.6
160,44.8
161,53.2
162,69
163,57.4
164,61.5
165,33.8
166,58.4
