ID,racial_group,callback
1,White,No
2,White,No
3,White,No
4,African American,Yes
5,African American,No
6,White,No
7,White,No
8,White,No
9,White,No
10,African American,No
11,White,No
12,African American,No
13,White,No
14,African American,No
15,African American,No
16,White,No
17,White,No
18,African American,Yes
19,African American,No
20,African American,No
21,White,No
22,African American,No
23,African American,No
24,White,No
25,African American,No
26,White,No
27,African American,No
28,White,No
29,White,No
30,White,No
31,African American,No
32,African American,No
33,White,No
34,White,No
35,African American,Yes
36,African American,No
37,African American,No
38,African American,No
39,African American,No
40,African American,Yes
41,African American,No
42,African American,No
43,African American,No
44,African American,No
45,White,No
46,White,No
47,White,No
48,White,No
49,White,Yes
50,African American,No
51,African American,No
52,White,No
53,White,No
54,African American,No
55,White,No
56,African American,No
57,African American,No
58,African American,No
59,White,No
60,White,No
61,African American,No
62,African American,Yes
63,African American,No
64,African American,No
65,White,No
66,White,No
67,African American,No
68,White,No
69,White,No
70,White,No
71,White,No
72,African American,No
73,White,No
74,White,No
75,White,No
76,African American,No
77,African American,No
78,African American,No
79,African American,No
80,African American,No
81,White,No
82,African American,No
83,African American,No
84,White,No
85,White,No
86,African American,No
87,African American,No
88,African American,No
89,White,No
90,White,No
91,African American,No
92,White,No
93,White,No
94,African American,No
95,White,No
96,White,No
97,White,No
98,White,No
99,White,No
100,White,No
101,African American,No
102,White,No
103,African American,No
104,African American,No
105,African American,No
106,African American,No
107,White,No
108,African American,No
109,African American,No
110,White,No
111,African American,No
112,White,No
113,White,No
114,White,No
115,African American,No
116,African American,No
117,African American,No
118,African American,No
119,White,No
120,African American,Yes
121,African American,No
122,White,No
123,White,No
124,African American,No
125,White,No
126,African American,No
127,African American,No
128,African American,No
129,White,No
130,African American,No
131,White,Yes
132,African American,No
133,White,No
134,White,No
135,White,No
136,White,No
137,African American,No
138,African American,No
139,White,No
140,White,Yes
141,African American,No
142,African American,No
143,African American,No
144,White,No
145,African American,No
146,White,No
147,African American,No
148,African American,Yes
149,White,Yes
150,White,No
151,African American,No
152,African American,No
153,White,No
154,African American,No
155,White,No
156,African American,Yes
157,White,No
158,White,No
159,White,No
160,White,No
161,White,No
162,White,No
163,African American,No
164,African American,No
165,African American,No
166,White,No
167,White,No
168,White,No
169,African American,No
170,African American,No
171,African American,No
172,African American,Yes
173,African American,No
174,White,No
175,African American,No
176,African American,No
177,White,No
178,White,No
179,White,No
180,African American,No
181,African American,No
182,White,No
183,White,Yes
184,White,Yes
185,African American,No
186,African American,No
187,African American,No
188,African American,No
189,White,No
190,White,No
191,White,No
192,White,No
193,African American,No
194,African American,No
195,African American,No
196,African American,No
197,White,No
198,White,No
199,White,No
200,White,No
201,African American,No
202,African American,No
203,White,No
204,African American,No
205,White,No
206,White,No
207,White,No
208,White,No
209,White,No
210,African American,No
211,White,No
212,African American,No
213,White,No
214,African American,No
215,White,No
216,African American,No
217,White,No
218,White,No
219,White,No
220,White,No
221,White,No
222,White,No
223,White,No
224,White,No
225,African American,Yes
226,African American,No
227,White,No
228,White,No
229,African American,No
230,White,No
231,African American,Yes
232,African American,No
233,African American,No
234,African American,No
235,White,Yes
236,White,No
237,African American,Yes
238,African American,No
239,White,No
240,African American,No
241,African American,No
242,White,No
243,African American,No
244,African American,No
245,African American,No
246,White,No
247,African American,No
248,White,No
249,African American,No
250,White,No
251,White,No
252,White,No
253,African American,No
254,White,Yes
255,White,No
256,African American,No
257,African American,No
258,White,No
259,African American,No
260,African American,No
261,White,No
262,White,No
263,White,No
264,African American,No
265,African American,No
266,White,No
267,African American,No
268,White,No
269,African American,No
270,White,No
271,White,No
272,White,No
273,White,No
274,White,No
275,African American,No
276,White,No
277,White,Yes
278,African American,No
279,White,No
280,African American,No
281,African American,No
282,African American,No
283,African American,No
284,White,No
285,White,No
286,White,No
287,African American,No
288,White,Yes
289,White,No
290,African American,No
291,African American,No
292,White,No
293,African American,No
294,African American,No
295,White,No
296,White,No
297,White,No
298,White,No
299,White,No
300,White,No
301,African American,No
302,White,No
303,African American,No
304,White,Yes
305,African American,No
306,White,No
307,White,No
308,African American,No
309,White,No
310,White,No
311,White,No
312,African American,No
313,African American,No
314,African American,No
315,White,No
316,African American,No
317,African American,No
318,White,No
319,White,No
320,White,No
321,White,No
322,White,No
323,White,No
324,White,No
325,African American,No
326,White,No
327,White,No
328,White,No
329,White,No
330,African American,No
331,African American,No
332,White,No
333,White,No
334,White,No
335,African American,No
336,African American,No
337,White,Yes
338,White,No
339,White,No
340,African American,No
341,White,Yes
342,White,No
343,White,Yes
344,White,No
345,African American,No
346,African American,No
347,White,No
348,White,No
349,African American,No
350,White,No
351,White,Yes
352,African American,Yes
353,African American,No
354,African American,No
355,White,No
356,African American,No
357,White,No
358,African American,No
359,White,No
360,African American,No
361,White,No
362,White,No
363,White,No
364,White,No
365,White,No
366,African American,No
367,African American,No
368,African American,No
369,African American,No
370,African American,No
371,African American,No
372,African American,No
373,White,No
374,White,No
375,White,No
376,White,No
377,African American,No
378,African American,Yes
379,White,No
380,White,No
381,African American,No
382,African American,No
383,African American,No
384,White,No
385,African American,No
386,White,No
387,African American,No
388,White,Yes
389,African American,No
390,White,No
391,African American,No
392,White,No
393,White,No
394,African American,No
395,African American,No
396,White,No
397,African American,No
398,White,No
399,African American,No
400,White,No
401,White,No
402,White,No
403,White,No
404,White,No
405,African American,No
406,White,No
407,White,No
408,White,No
409,White,No
410,White,No
411,White,No
412,African American,No
413,White,No
414,White,No
415,White,No
416,White,No
417,White,No
418,African American,No
419,African American,No
420,African American,No
421,African American,No
422,White,No
423,African American,No
424,African American,No
425,African American,No
426,African American,No
427,African American,No
428,African American,No
429,White,No
430,White,No
431,White,No
432,White,No
433,White,No
434,African American,No
435,African American,No
436,African American,No
437,White,No
438,African American,No
439,African American,No
440,African American,No
441,White,No
442,White,No
443,African American,No
444,African American,No
445,White,No
446,African American,No
447,White,No
448,African American,No
449,African American,Yes
450,White,No
451,African American,No
452,White,No
453,African American,No
454,African American,No
455,White,No
456,African American,No
457,White,No
458,African American,No
459,African American,Yes
460,White,No
461,White,No
462,African American,No
463,White,No
464,White,No
465,White,No
466,White,No
467,African American,No
468,African American,No
469,African American,No
470,African American,No
471,White,No
472,White,No
473,White,Yes
474,White,No
475,White,No
476,White,No
477,White,No
478,White,Yes
479,African American,No
480,African American,No
481,White,No
482,African American,No
483,White,No
484,White,No
485,African American,No
486,White,No
487,African American,No
488,White,Yes
489,White,No
490,White,No
491,White,Yes
492,White,No
493,White,No
494,African American,No
495,White,No
496,White,No
497,African American,No
498,African American,No
499,White,Yes
500,African American,No
501,African American,No
502,African American,No
503,White,No
504,White,No
505,African American,Yes
506,African American,No
507,White,No
508,White,No
509,White,No
510,White,No
511,African American,No
512,African American,No
513,African American,No
514,White,No
515,African American,No
516,White,No
517,White,Yes
518,African American,No
519,African American,No
520,African American,No
521,White,No
522,White,No
523,African American,No
524,African American,No
525,White,No
526,White,No
527,White,No
528,African American,Yes
529,White,No
530,African American,No
531,White,No
532,White,No
533,White,No
534,White,No
535,African American,No
536,White,No
537,White,No
538,African American,No
539,African American,No
540,White,No
541,White,Yes
542,White,No
543,White,No
544,White,No
545,African American,No
546,White,No
547,White,No
548,White,No
549,African American,No
550,White,No
551,African American,No
552,African American,No
