StudentID,SES,Enrolled
1,Low-income,no
2,High-income,yes
3,Middle-income,no
4,Low-income,yes
5,High-income,yes
6,Middle-income,yes
7,Low-income,yes
8,Middle-income,yes
9,Middle-income,no
10,Low-income,no
11,Middle-income,no
12,High-income,yes
13,High-income,no
14,Middle-income,no
15,High-income,yes
16,Low-income,no
17,Low-income,no
18,Low-income,no
19,Middle-income,no
20,High-income,yes
21,Low-income,no
22,Low-income,no
23,Low-income,yes
24,High-income,yes
25,High-income,yes
26,Middle-income,no
27,Middle-income,no
28,Low-income,yes
29,High-income,no
30,High-income,no
31,High-income,yes
32,Low-income,yes
33,High-income,no
34,Middle-income,no
35,Low-income,no
36,Low-income,no
37,Low-income,no
38,Low-income,no
39,High-income,no
40,High-income,no
41,High-income,yes
42,Low-income,no
43,Low-income,no
44,Low-income,no
45,High-income,no
46,Low-income,no
47,High-income,no
48,Middle-income,no
49,High-income,no
50,High-income,yes
51,Low-income,no
52,High-income,no
53,Low-income,no
54,High-income,no
55,Middle-income,no
56,Low-income,no
57,Low-income,no
58,Middle-income,yes
59,Middle-income,yes
60,High-income,yes
61,High-income,no
62,Middle-income,no
63,High-income,yes
64,Low-income,yes
65,Low-income,no
66,Low-income,no
67,Middle-income,yes
68,High-income,yes
69,High-income,yes
70,Low-income,no
71,High-income,yes
72,High-income,no
73,Middle-income,no
74,High-income,no
75,Low-income,no
76,Middle-income,no
77,Low-income,no
78,High-income,no
79,High-income,yes
80,High-income,no
81,Middle-income,no
82,Middle-income,no
83,Low-income,no
84,High-income,yes
85,Middle-income,no
86,Middle-income,no
87,Middle-income,yes
88,High-income,yes
89,Middle-income,yes
90,High-income,yes
91,High-income,yes
92,Middle-income,no
93,Middle-income,no
94,High-income,yes
95,High-income,yes
96,Middle-income,yes
97,High-income,yes
98,Middle-income,no
99,Middle-income,no
100,Middle-income,no
101,Middle-income,yes
102,Middle-income,no
103,Middle-income,yes
104,Middle-income,yes
105,High-income,yes
106,Middle-income,yes
107,High-income,yes
108,Middle-income,no
109,Low-income,no
110,Low-income,no
111,Middle-income,no
112,Low-income,no
113,High-income,yes
114,Middle-income,yes
115,Low-income,yes
116,Low-income,yes
117,Low-income,no
118,High-income,no
119,Middle-income,no
120,High-income,no
121,High-income,no
122,High-income,yes
123,Low-income,no
124,Middle-income,no
125,High-income,yes
126,Low-income,no
127,Middle-income,yes
128,Low-income,no
129,Middle-income,yes
130,Low-income,yes
131,Middle-income,yes
132,Middle-income,no
133,High-income,no
134,Middle-income,yes
135,Middle-income,no
136,Middle-income,yes
137,Middle-income,yes
138,High-income,no
139,Low-income,yes
140,Low-income,no
141,High-income,yes
142,Low-income,no
143,High-income,yes
144,Middle-income,no
145,Low-income,yes
146,Middle-income,no
147,High-income,yes
148,High-income,yes
149,Middle-income,yes
150,Middle-income,yes
151,Middle-income,no
152,High-income,yes
153,Middle-income,no
154,High-income,no
155,Middle-income,yes
156,High-income,yes
157,Low-income,no
158,Low-income,no
159,Low-income,no
160,High-income,no
161,High-income,no
162,High-income,yes
163,High-income,yes
164,High-income,no
165,High-income,no
166,Low-income,no
167,High-income,no
168,High-income,yes
169,Middle-income,no
170,High-income,yes
171,Low-income,no
172,Middle-income,yes
173,High-income,yes
174,Middle-income,no
175,High-income,yes
176,Middle-income,no
177,High-income,yes
178,Low-income,no
179,Low-income,no
180,High-income,yes
181,High-income,no
182,Low-income,yes
183,High-income,no
184,High-income,yes
185,Middle-income,no
186,High-income,yes
187,High-income,no
188,High-income,no
189,Low-income,no
190,Middle-income,no
191,High-income,yes
192,High-income,yes
193,High-income,yes
194,High-income,yes
195,Middle-income,no
196,High-income,yes
197,Low-income,no
198,Low-income,yes
199,High-income,yes
200,High-income,yes
201,High-income,yes
202,High-income,yes
203,High-income,yes
204,Middle-income,yes
205,Low-income,no
206,High-income,no
207,Middle-income,yes
208,Low-income,no
209,High-income,yes
210,Low-income,no
211,Low-income,yes
212,Low-income,no
213,Low-income,yes
214,High-income,yes
215,High-income,no
216,High-income,yes
217,Low-income,yes
218,High-income,yes
219,Low-income,no
220,Middle-income,no
221,High-income,yes
222,High-income,no
223,Low-income,no
224,High-income,yes
225,Middle-income,no
226,Middle-income,no
227,Middle-income,yes
228,Middle-income,yes
229,Middle-income,yes
230,Middle-income,no
231,Middle-income,no
232,Middle-income,no
233,Low-income,no
234,High-income,yes
235,Low-income,no
236,Low-income,no
237,Middle-income,yes
238,Middle-income,no
239,Middle-income,yes
240,High-income,yes
241,Middle-income,no
242,High-income,no
